NCTId,Sponsor,Locations
NCT01852149,"Mitralign, Inc.","Instituto Dante Passanese de Cardiologia, São Paulo, Brazil"
NCT04615949,Cardiol Therapeutics Inc.,"Science Valley Research Institute, Campo Largo, Brazil; Universidade Estadual de Maringa, Maringá, Brazil; Hospital São Lucas PUCRS, Porto Alegre, Brazil; Irmandade Santa Casa de Misericórdia, Porto Alegre, Brazil; Núcleo de Ensino e Pesquisa do Instituto Mário Penna, Conjunto ACM, Brazil; Fundação Pio XII - Hospital de Amor Barretos, Barretos, Brazil; IPECC-Instituto de Pesquisa Clínica de Campinas, Campinas, Brazil; Instituto do Coração do HCFMUSP, Cerqueira César, Brazil; SVRI- Irmandade de Santa Casa de Misercordia de Santos, Jabaquara, Brazil; Science Valley Research Institute, Santo André, Brazil; Fundação Faculdade Regional de Medicine de Sao Jose do Rio Preto (SJRP), São José do Rio Preto, Brazil; Complexo Hospitalar de Niteroi- Centro de Pesquisa Clinica, Rio de Janeiro, Brazil"
NCT05648448,University of Oxford,"Universidade Federal de Minas Gerais, Minas Gerais, Brazil"
NCT01566240,"University College, London","Instituto do Câncer do Estado de São Paulo, São Paulo, Brazil"
NCT03658850,University of Sao Paulo,"Hospital das Clinicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT06527404,Amgen,"Clinica Instituto Bahiano de Imunoterapia - Medicina, Reumatologia e Dermatologia ltda, Salvador, Brazil; Irmandade da Santa Casa de Misericordia de Porto Alegre, Porto Alegre, Brazil; Universidade Estadual Paulista Julio de Mesquita Filho, Botucatu, Brazil; Fundacao Abc - Centro Univ Fmabc, Santo André, Brazil; Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil; IBPClin Instituto Brasil de Pesquisa Clinica, Rio de Janeiro, Brazil"
NCT06091384,D'Or Institute for Research and Education,"D'Or Institute of Research and Education, São Paulo, Brazil"
NCT03882515,University of the State of Santa Catarina,"Santa Catarina State University, Florianópolis, Brazil"
NCT03216317,Hospital Israelita Albert Einstein,"Unidade Básica de Saúde, Petrolina, Brazil"
NCT05455684,"Janssen Research & Development, LLC","Universidade Federal do Ceara Hospital Universitario Walter Cantidio, Fortaleza, Brazil; Instituto Goiano de Neuropsiquiatria, Goiânia, Brazil; NPCRS Nucleo de Pesquisa Clinica do Rio Grande do Sul, Porto Alegre, Brazil; Ruschel Medicina e Pesquisa Clínica Ltda, Rio de Janeiro, Brazil; CEMEC - Centro Multidisciplinar de Estudos Clínicos, São Bernardo do Campo, Brazil; Fundacao Faculdade Regional de Medicina de Sao Jose do Rio Preto Hospital de Base, São José do Rio Preto, Brazil; CPQuali Pesquisa Clinica LTDA ME, São Paulo, Brazil; BR Trials, São Paulo, Brazil"
NCT01235585,Hoffmann-La Roche,", Salvador, Brazil; , Goiânia, Brazil; , Belo Horizonte, Brazil; , Curitiba, Brazil; , Rio de Janeiro, Brazil; , Pelotas, Brazil; , Porto Alegre, Brazil; , Itapira, Brazil; , São Paulo, Brazil; , São Paulo, Brazil"
NCT03306043,GlaxoSmithKline,"GSK Investigational Site, Porto Alegre, Brazil; GSK Investigational Site, Santo André - SP, Brazil; GSK Investigational Site, Sorocaba, Brazil"
NCT01031017,University of Sao Paulo,"Hospital das Clinicas, São Paulo, Brazil"
NCT01487291,Universidade Federal do Rio de Janeiro,"Institudo de Psiquiatria da UFRJ, Rio de Janeiro, Brazil"
NCT07099690,Federal University of Rio Grande do Sul,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT01544933,Universidade de Passo Fundo,"Rodrigo Tisot, Passo Fundo, Brazil"
NCT02656784,Universidade Estadual do PiauÍ,"Piauí State University - UESPI, Teresina, Brazil"
NCT03923426,Pfizer,"Hospital Felício Rocho, Belo Horizonte, Brazil; Hospital Vera Cruz, Belo Horizonte, Brazil; CEPETI - Centro de Estudos e Pesquisa em Emergências Médicas e Terapia Intensiva, Curitiba, Brazil; Hospital Moinho de Ventos, Porto Alegre, Brazil; Hospital de Caridade de Santa Maria -HCAA, Santa Maria, Brazil"
NCT02535585,University of Sao Paulo,"Departamento de Ortopedia e Traumatologia do Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT06959043,Maria Elizabeth Rossi da Silva,"Universidade de São Paulo (USP), São Paulo, Brazil"
NCT05466240,"Atea Pharmaceuticals, Inc.","Atea Study Site, Belo Horizonte, Brazil; Atea Study Site, Campo Grande, Brazil; Atea Study Site, Cuiabá, Brazil; Atea Study Site, Manaus, Brazil; Atea Study Site, Natal, Brazil; Atea Study Site, Porto Velho, Brazil; Atea Study Site, Recife, Brazil; Atea Study Site, Ribeirão Preto, Brazil; Atea Study Site, Rio de Janeiro, Brazil; Atea Study Site, São José do Rio Preto, Brazil; Atea Study Site, São Paulo, Brazil"
NCT03540589,Hospital Nossa Senhora da Conceicao,"Hospital Moinhos de Vento, Porto Alegre, Brazil"
NCT06068374,University of Nove de Julho,"Universidade Nove de Julho, São Paulo, Brazil"
NCT03170518,"Janssen Research & Development, LLC","Hospital Universitario Joao de Barros Barreto - UFPA, Belém, Brazil; Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil; Condominio Centro Clinico do Lago, Brasília, Brazil; Centro de Diabetes Curitiba Ltda, Curitiba, Brazil; Núcleo de Pesquisa Clinica, Porto Alegre, Brazil; Instituto da Criança com Diabetes do Rio Grande do Sul - ICDRS, Porto Alegre, Brazil; Ruschel Medicina e Pesquisa Clínica Ltda, Rio de Janeiro, Brazil; Hospital e Maternidade Dr Christovao da Gama S.A, Santo André, Brazil; IPEC - Instituto de Pesquisa Clínica Ltda, São Paulo, Brazil; Hospital Das Clinicas Da Faculdade De Medicina Da USP, São Paulo, Brazil; Santa Casa de Misericórdia de Votuporanga, Votuporanga, Brazil"
NCT04610138,Clene Nanomedicine,"PROCAPE, Santo Amaro, Brazil; Projeto Praca Onze, Centro, Brazil; IBPClin, Glória, Brazil; Casa de Saúde, Campinas, Brazil; IPECC, São Paulo, Brazil"
NCT01393548,Ache Laboratorios Farmaceuticos S.A.,"Ache Laboratorios Farmaceuticos, Guarulhos, Brazil"
NCT05157178,The Immunobiological Technology Institute (Bio-Manguinhos) / Oswaldo Cruz Foundation (Fiocruz),"Instituto de Tecnologia do Paraná (TECPAR), Curitiba, Brazil; Hospital Universitário Pedro Ernesto/ UERJ, Rio de Janeiro, Brazil; Policlinica Lincoln de Freitas Filho, Rio de Janeiro, Brazil; Unidade de Ensaios Clínicos em Imunobiológicos, Rio de Janeiro, Brazil"
NCT01306435,University of Sao Paulo General Hospital,"University of São Paulo General Hospital, São Paulo, Brazil"
NCT04216810,Faculdade de Ciências Médicas da Santa Casa de São Paulo,"Claudio Cazarini Júnior, São Paulo, Brazil"
NCT04225520,Universitaire Ziekenhuizen KU Leuven,"Dante Pazzanese Institute of Cardiology, São Paulo, Brazil"
NCT04455685,Libbs Farmacêutica LTDA,"Augusto Theodoro de Figueiredo, São Paulo, Brazil"
NCT03632785,University of Sao Paulo,"José Carlos Nicolau, São Paulo, Brazil"
NCT03904940,Federal University of São Paulo,"Universidade Federal de Sao Paulo, São Paulo, Brazil"
NCT04216589,National Institute of Allergy and Infectious Diseases (NIAID),"Instituto de Pesquisa Clinica Evandro Chagas (IPEC) CRS (Site ID: 12101), Rio de Janeiro, Brazil"
NCT05475691,Hospital Israelita Albert Einstein,"HUPES - Escola Bahiana de Medicina e Saúde Pública, Salvador, Brazil; UFMG - Universidade Federal de Minas Gerais - Hospital das Clínicas, Belo Horizonte, Brazil; Hospital Infantil Pequeno Príncipe, Curitiba, Brazil; Instituto de Puericultura e Pediatria Martagão Gesteira da UFRJ, Rio de Janeiro, Brazil; HCPA - Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil; Unicamp - Hospital de Clínicas da Universidade Estadual de Campinas, Campinas, Brazil; Hospital Israelita Albert Einstein, São Paulo, Brazil; Instituto da Criança do Hospital das Clínicas de São Paulo - FMUSP, São Paulo, Brazil"
NCT00820690,Barretos Cancer Hospital,"Barretos Cancer Hospital, Barretos, Brazil"
NCT06450197,AstraZeneca,"Research Site, Campinas, Brazil; Research Site, Curitiba, Brazil; Research Site, Jaú, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Santo André, Brazil; Research Site, São José do Rio Preto, Brazil; Research Site, São Paulo, Brazil; Research Site, São Paulo, Brazil"
NCT00596713,Associação Fundo de Incentivo à Pesquisa,"AFIP, São Paulo, Brazil"
NCT01651923,Azidus Brasil,"LAL Clínica Pesquisa e Desenvolvimento Ltda., Valinhos, Brazil"
NCT00738179,Adelaide Institute for Sleep Health,"Brazil Principal Investigator: Geraldo Lorenzi Filho, Heart Institute, University of São Paulo, São Paulo, Brazil"
NCT03221855,Hospital de Clinicas de Porto Alegre,"Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT03446378,Universidade Federal de Pernambuco,"Federal University of Pernambuco, Applied Neuroscience Laboratory, Recife, Brazil"
NCT03843125,Eli Lilly and Company,"SER - Serviços Especializados em Reumatologia da Bahia S/S - ME, Salvador, Brazil; Santa Casa de Misericordia de Belo Horizonte, Belo Horizonte, Brazil; Centro de Estudos em Terapias Inovadoras-CETI, Curitiba, Brazil; EDUMED - Educação em Saúde Ltda., Curitiba, Brazil; LMK Serviços Médicos S/S, Porto Alegre, Brazil; Hospital de Clinicas UNICAMP, Campinas, Brazil; Oncovida- Centro de Onco-Hematologia de Mato Grosso, Cuiabá, Brazil"
NCT02102620,Federal University of São Paulo,"Federal University of São Paulo, São Paulo, Brazil"
NCT03286647,University of Sao Paulo General Hospital,"Department and Institute of Psychiatry - FMUSP, São Paulo, Brazil"
NCT03032185,Secretaria Municipal de Saúde de Rolante,"Andressa de Souza, Canoas, Brazil"
NCT02764840,São Paulo State University,"Paulista State University, Presidente Prudente, Brazil"
NCT03469440,Instituto do Coracao,"Incor - Heart Institute - University of Sao Paulo, São Paulo, Brazil"
NCT04149574,Bristol-Myers Squibb,"Local Institution - 0050, Uberlândia, Brazil; Local Institution - 0048, Porto Alegre, Brazil; Local Institution - 0047, Itajaí, Brazil; Local Institution - 0049, Rio de Janeiro, Brazil"
NCT01396460,"Gastrocirurgia, Brazil","Gastrocirurgia de Brasilia, Brasília, Brazil"
NCT03397706,"Viracta Therapeutics, Inc.","Centro de Hematologia e Oncologia da Bahia (CEHON), Salvador, Brazil; Hospital de Cancer de Pernambuco (HCP), Recife, Brazil; Hospital do Cancer Mae de Deus, Porto Alegre, Brazil; Real e Benemerita Associacao Portuguesa de Beneficencia, São Paulo, Brazil; Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo (HC-FMUSP), São Paulo, Brazil; Hospital Santa Marcelina, São Paulo, Brazil"
NCT01392326,Novartis Pharmaceuticals,"Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, São Paulo, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT03566043,REGENXBIO Inc.,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT05415215,Hoffmann-La Roche,"Crio - Centro Regional Integrado de Oncologia, Fortaleza, Brazil; Hospital Araujo Jorge, Goiânia, Brazil; Hospital Nossa Senhora da Conceicao, Porto Alegre, Brazil; Clinica de Pesquisa e Centro de Estudos em Oncologia Ginecologica e Mamaria Ltda, São Paulo, Brazil"
NCT00989768,Brazilan Center for Studies in Dermatology,"Brazilian Center for Studies in Dermatology, Porto Alegre, Brazil"
NCT01288560,Ottawa Heart Institute Research Corporation,"Quanta Diagnóstico e Terapia, Curitiba, Brazil"
NCT02180360,Universidade Federal do vale do São Francisco,"Universidade Federal do Vale do São Francisco, Petrolina, Brazil"
NCT04658524,Rio de Janeiro State University,"Ana Beatriz Winter Tavares, Petrópolis, Brazil"
NCT03198832,Universidade Estadual Paulista Júlio de Mesquita Filho,", São Jose Dos Campos, Brazil"
NCT02698709,University of Sao Paulo,"Clínica Oftalmológica do Hospital de Clínicas - FMUSP, São Paulo, Brazil"
NCT05422547,D'Or Institute for Research and Education,"Instituto D'Or de Pesquisa e Ensino - Brasília, Brasília, Brazil; Instituto D'Or de Pesquisa e Ensino - Rio de Janeiro, Rio de Janeiro, Brazil"
NCT01877148,Universidade Federal de Pernambuco,"Applied Neuroscience Laboratory, Recife, Brazil"
NCT01895049,Helio Tedesco Silva Junior,"Hospital do Rim e Hipertensao, São Paulo, Brazil"
NCT00704548,Hospital de Clinicas de Porto Alegre,"Hospital de Clinicas de Porto Alegre, Porto Alegre, Brazil"
NCT01124955,Federal University of São Paulo,"Tatiana Hasegawa, São Paulo, Brazil; Tatiana Hasegawa, São Paulo, Brazil"
NCT03028168,Hospital de Clinicas de Porto Alegre,"Hospital ULBRA - Mãe de Deus, Canoas, Brazil; Hospital de Clínicas de Porto Alegre, Porto Alegre, Brazil"
NCT03535610,Scitech Produtos Medicos Ltda,"Certa Centro de Referência em Tratamentos Avançados, São Paulo, Brazil"
NCT05471180,University of Nove de Julho,"Anna Carolina R.T. Horliana, São Paulo, Brazil"
NCT00419835,University of Sao Paulo,"Nephrology Department, Sao Paulo University Medical School, São Paulo, Brazil"
NCT02970890,Adriane Aver Vanin,"Hospital Beneficência Nossa Senhora do Pari, São Paulo, Brazil"
NCT04544410,Spruce Biosciences,"Spruce Study Site, Curitiba, Brazil; Spruce Study Site, São Paulo, Brazil"
NCT00229697,AstraZeneca,"Research Site, Belo Horizonte, Brazil; Research Site, Curitiba, Brazil; Research Site, Porto Alegre, Brazil; Research Site, São Paulo, Brazil"
NCT01755676,EMS,"Centro de Medicina Reprodutiva Dr Carlos Isaia Filho, Porto Alegre, Brazil; Loema, Campinas, Brazil; Allergisa, Campinas, Brazil; CIPMED, Jaú, Brazil; Marcio Antonio Pereira Clinica de Endocrinologia, São José dos Campos, Brazil"
NCT02265497,Claudio Gustavo Stefanoff,"Brazilian National Cancer Institute - INCA/ Ministry Of HealthClinical Research Department, Rio de Janeiro, Brazil"
NCT02142179,Federal University of Bahia,"Universidade Federal da Bahia and College Estadual Presidente Emílio Garrastazu Médici (Currently its name is College Estadual do Stiep Carlos Marighella), Salvador, Brazil"
NCT02452788,Hospital Moinhos de Vento,"Hospital Moinhos de Vento, Porto Alegre, Brazil"
NCT00333827,"Ministry of Health, Brazil","INCL - National Institute of Cardiology Laranjeiras, Rio de Janeiro, Brazil"
NCT01905943,Hoffmann-La Roche,"Hospital das Clinicas - UFRGS, Porto Alegre, Brazil; Hospital de Cancer de Barretos, Barretos, Brazil; Hospital Amaral Carvalho, Jaú, Brazil; Instituto de Ensino e Pesquisa Sao Lucas - IEP, São Paulo, Brazil; Hospital Sirio Libanes; Centro de Oncologia, São Paulo, Brazil; Hospital Estadual do Servidor Publico; Hematologia, São Paulo, Brazil; Hospital das Clinicas - FMUSP; Hematologia, São Paulo, Brazil; Hospital Santa Marcelina;Oncologia, São Paulo, Brazil"
NCT02487615,Instituto Dante Pazzanese de Cardiologia,"State University Of Campinas, Campinas, Brazil; Dante Pazzanese Institute of Cardiology, São Paulo, Brazil"
NCT01463917,Hospital Pitangueiras,"Hospital Pitangueiras, Jundiaí, Brazil"
NCT06259968,Federal University of Health Science of Porto Alegre,"Private Rehabilitation Center, Veranópolis, Brazil; Private Rehabilitation Center, Veranópolis, Brazil"
NCT02083497,Universidade do Vale do Paraíba,"Rehabilitation Engineering Laboratory of Sensory Motor, São José dos Campos, Brazil"
NCT02127723,Galderma R&D,"Dr Hexsel, Porto Alegre, Brazil"
NCT06712823,Crinetics Pharmaceuticals Inc.,"Crinetics Study Site, Botucatu, Brazil; Crinetics Study Site, São Paulo, Brazil"
NCT03464136,"Janssen Scientific Affairs, LLC","Hospital Das Clinicas Da Ufmg, Belo Horizonte - MG, Brazil; Inst Goiano Gastroenterologia e Endoscopia Digest Ltda - Clinica de Gastro, Goiânia, Brazil; Endogastro Clínica de Gastroenterologia e Endoscopia Digestiva Lida, Juiz de Fora, Brazil; Hospital das Clinicas de Porto Alegre, Porto Alegre, Brazil; Hospital Das Clinicas Da Faculdade De Medicina De RPUSP HCRP, Ribeirão Preto, Brazil; Universidade Federal do Rio de Janeiro - Faculdade de Medicina, Rio de Janeiro, Brazil; Hospital Copa D'Or, Rio de Janeiro, Brazil; Fundacao do ABC Centro Universitario FMABC, Santo André, Brazil"
NCT04846907,D'Or Institute for Research and Education,"D'Or Institute for Research and Education, Rio de Janeiro, Brazil"
NCT04698811,Universidade do Vale do Sapucai,"Univás, Pouso Alegre, Brazil"
NCT02023034,Faculdade Evangelica do Parana,"Associação Paranaense dos Portadores de Parkinsonismo, Curitiba, Brazil"
NCT00719264,Novartis Pharmaceuticals,"Novartis Investigative Site, Rio de Janeiro, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Porto Alegre, Brazil; Novartis Investigative Site, Ribeirão Preto, Brazil; Novartis Investigative Site, Santo André, Brazil; Novartis Investigative Site, São Paulo, Brazil"
NCT06316349,University of Sao Paulo General Hospital,"Instituto do Coração - Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT01765543,Hoffmann-La Roche,", Porto Alegre, Brazil; , Porto Alegre, Brazil; , Porto Alegre, Brazil"
NCT01978015,"University of Campinas, Brazil","Hospital de Clínicas, UNICAMP, Campinas, Brazil"
NCT05317117,PATH,"Centro de Pesquisa em Medicina Tropical de Rondônia (CEPEM), Porto Velho, Brazil"
NCT06696040,Fernanda Trubian,"Universidade de Caxias do Sul, Caxias Do Suk, Brazil"
NCT01425840,"University of Campinas, Brazil","Piracicaba Dental School, Piracicaba, Brazil"
NCT00524368,"Tibotec Pharmaceuticals, Ireland",", Curitiba, Brazil; , Distrito Barao Geraldo-Campina, Brazil; , Pinheiros, Brazil; , Recife, Brazil; , Rio de Janeiro, Brazil; , Salvador, Brazil; , São Paulo, Brazil"
NCT00922350,Universidade Federal de Pernambuco,"Barros Lima Policlinic, Recife, Brazil"
NCT02807818,University of Sao Paulo,"Faculdade de Medicina da Universidade de São Paulo, São Paulo, Brazil"
NCT02056197,University of Nove de Julho,"Universidade Nove de Julho, São Paulo, Brazil"
NCT06350097,AstraZeneca,"Research Site, Barretos, Brazil; Research Site, Natal, Brazil; Research Site, Porto Alegre, Brazil; Research Site, Salvador, Brazil; Research Site, São Paulo, Brazil"
